t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0,0.5141570552417475,0.3477212066428791,0.25373742652605735,-1.47E-12,-0.00981,-3.31E-12,-1.47E-09,-9.809999999,-3.31E-09,0,0,1,8.164901977869952e-17,1.168988390664416e-15,1.6966239312615156e-15,-6.34E-10,6.597405774123495e-10,2.572538326275857e-10,8.253318341545957e-10
0.001,0.5141570552417474,0.3477015866428791,0.25373742652605735,-1.25E-13,-0.01962,2.9350925900356814e-15,1.3469609132208209e-09,-9.810000001,3.308502633130533e-09,0,0,1,3.983743202852997e-17,1.5888606752217327e-15,1.6465613089852587e-15,8.005852482187937e-10,-7.97E-10,-5.51E-10,-9.63E-10
0.002,0.5141570552417475,0.34767215664287915,0.25373742652605735,1.5458467468638938e-13,-0.02943,1.7201309257261882e-14,2.7933090202217327e-10,-9.81,1.4266216667226201e-11,0,0,1,1.6171204599439613e-17,9.631607520332674e-16,1.6506824185639746e-15,-2.01E-10,1.7920637264628711e-10,4.046210879873275e-10,1.973844222173773e-10
0.003,0.5141570552417476,0.34763291664287915,0.2537374265260574,5.890944514339073e-14,-0.03924,4.355905675005161e-14,-9.57E-11,-9.81,2.6357747492789727e-11,0,0,1,3.331190838722625e-17,1.0269735152875336e-15,1.6757594246377676e-15,-4.58E-11,-1.25E-11,-2.02E-11,-3.46E-11
0.004,0.5141570552417476,0.34758386664287916,0.2537374265260574,-2.80E-14,-0.04905,-1.23E-14,-8.70E-11,-9.81,-5.59E-11,0,0,1,5.388367920834468e-17,1.1143986552179827e-15,1.6384575787787349e-15,7.23703545622147e-11,4.340071300053378e-12,-5.44E-11,-2.73E-11
0.005,0.5141570552417475,0.3475250066428791,0.2537374265260574,-1.11E-13,-0.05886,5.662302886943655e-15,-8.31E-11,-9.81,1.7964399339013746e-11,0,0,1,6.599147393233546e-17,1.1365895277015438e-15,1.6370810579959107e-15,5.476218611157525e-11,-6.84E-11,-5.66E-11,-8.18E-13
0.006,0.5141570552417474,0.34745633664287906,0.2537374265260574,-9.47E-14,-0.06867,-4.74E-17,1.648987907168897e-11,-9.81,-5.71E-12,0,0,1,9.047034828896954e-17,1.2044422390877191e-15,1.6413396691094443e-15,5.024596779284202e-12,2.374193703703889e-12,6.1650346881400115e-12,-6.41E-13
0.007,0.5141570552417475,0.3473778566428791,0.2537374265260574,1.0310967904185141e-13,-0.07848,-9.39E-15,1.9780431020746307e-10,-9.81,-9.35E-12,0,0,1,1.709440678044912e-17,1.1791604456064026e-15,1.6369798155691965e-15,-1.43E-10,4.3313078257478755e-11,3.5644711003744464e-11,-2.39E-11
0.008,0.5141570552417476,0.34728956664287913,0.25373742652605735,6.147737932377739e-14,-0.08829,-3.93E-14,-4.16E-11,-9.81,-2.99E-11,0,0,1,3.4370154714357e-17,1.1563325402879793e-15,1.6687148214146197e-15,1.6500122224625931e-10,8.428933422856808e-12,-7.15E-11,7.606651998328888e-11
0.009,0.5141570552417476,0.34719146664287914,0.25373742652605735,4.3735755333009685e-14,-0.0981,-1.81E-14,-1.77E-11,-9.81,2.1181312290637533e-11,0,0,1,-9.67E-19,1.2200029112782223e-15,1.681336513547068e-15,-2.20E-11,-1.89E-12,1.1455063590045518e-11,-8.61E-12
