t,motFRTor,motRRTor,motFLTor,motRLTor,dx,q1,ddx
0,-6.34E-10,6.60E-10,2.57E-10,8.25E-10,-1.47E-12,8.16E-17,-1.47E-09
0.001,8.01E-10,-7.97E-10,-5.51E-10,-9.63E-10,-1.25E-13,3.98E-17,1.34696E-09
0.002,-2.01E-10,1.79E-10,4.05E-10,1.97E-10,1.55E-13,1.62E-17,2.79331E-10
0.003,-4.58E-11,-1.25E-11,-2.02E-11,-3.46E-11,5.89E-14,3.33E-17,-9.57E-11
0.004,7.24E-11,4.34E-12,-5.44E-11,-2.73E-11,-2.80E-14,5.39E-17,-8.7E-11
0.005,5.48E-11,-6.84E-11,-5.66E-11,-8.18E-13,-1.11E-13,6.60E-17,-8.31E-11
0.006,5.02E-12,2.37E-12,6.17E-12,-6.41E-13,-9.47E-14,9.05E-17,1.64899E-11
0.007,-1.43E-10,4.33E-11,3.56E-11,-2.39E-11,1.03E-13,1.71E-17,1.97804E-10
0.008,1.65E-10,8.43E-12,-7.15E-11,7.61E-11,6.15E-14,3.44E-17,-4.16E-11
0.009,-2.20E-11,-1.89E-12,1.15E-11,-8.61E-12,4.37E-14,-9.67E-19,-1.77E-11
0.01,-1.95E-10,-1.41E-11,1.34E-10,-8.21E-11,-8.21E-15,5.84E-17,-5.19E-11
0.011,1.78E-11,-3.57E-12,-7.60E-14,1.32E-12,-1.93E-14,4.36E-17,-1.11E-11
0.012,3.12E-10,-1.21E-12,-2.19E-10,4.50E-11,-8.40E-14,4.67E-17,-6.47E-11
0.013,-2.22E-10,-1.14E-12,9.80E-11,-2.29E-11,3.84E-14,3.85E-17,1.22353E-10
0.014,1.17E-11,1.82E-12,5.54E-11,4.21E-11,2.97E-14,4.14E-17,-8.64E-12
0.015,-3.09E-11,3.02E-13,-4.72E-11,8.70E-12,8.42E-14,2.74E-17,5.4502E-11
0.016,1.11E-10,3.13E-11,2.48E-11,-3.40E-12,-7.95E-14,5.23E-17,-1.64E-10
0.017,-9.31E-11,-4.93E-11,-1.00E-12,-3.67E-11,1.59E-14,1.01E-16,9.54217E-11
0.018,-4.19E-12,-4.67E-12,-3.45E-12,-9.34E-13,1.16E-14,5.32E-17,-4.33E-12
